Text,Intent
"I need a hostel room.",accommodation
"How can I get a hostel space?",accommodation
"I want to change my hostel room.",accommodation
"How do I apply for a different hostel?",accommodation
"I need to move to another hostel.",accommodation
"I want to apply for a single room hostel.",accommodation
"Can I change my hostel room type?",accommodation
"How do I apply for a hostel upgrade?",accommodation
"I need to request a hostel room change.",accommodation
"I want to apply for a hostel transfer.",accommodation
"How do I apply for hostel cancellation?",accommodation
"I need to vacate my hostel room.",accommodation
"I want to change my course of study.",changeOfProgramme
"How do I change my program?",changeOfProgramme
"I need to switch my course.",changeOfProgramme
"I want to transfer to another department.",changeOfProgramme
"Can I change my major?",changeOfProgramme
"How do I apply for a change of program?",changeOfProgramme
"I need to switch my faculty.",changeOfProgramme
"I want to change my course of study to another.",changeOfProgramme
"How do I transfer to a different department?",changeOfProgramme
"I need to change my specialization.",changeOfProgramme
"I want to apply for a program change.",changeOfProgramme
"How do I switch my course of study?",changeOfProgramme
"I need to change my major to another.",changeOfProgramme
"I want to transfer to a different faculty.",changeOfProgramme
"Can I change my department?",changeOfProgramme
"How do I switch my course?",changeOfProgramme
"I need to change my program of study.",changeOfProgramme
"I want to apply for a different program.",changeOfProgramme
"How do I transfer to a new program?",changeOfProgramme
"I need to change my course of specialization.",changeOfProgramme
"I want to change my phone number.",settings
"How do I update my profile settings?",settings
"I need to modify my account settings.",settings
"I want to change my user preferences.",settings
"How do I edit my profile information?",settings
"I need to update my personal details on my profile.",settings
"I want to change my notification settings.",settings
"How do I modify my privacy settings?",settings
"I need to update my password and security questions.",settings
"I want to change my language preferences.",settings
"How do I edit my display settings?",settings
"I need to update my contact information on my profile.",settings
"I want to change my email address on my profile.",settings
"How do I modify my phone number on my profile?",settings
"I need to update my email on my profile.",settings
"I want to change my password on my profile.",settings
"How do I edit my phone number on my profile?",settings
"I need to update my password on my profile.",settings
"I want to change my emergency contact information on my profile.",settings
"How do I modify my profile visibility settings?",settings
"I want to log out.",logout
"How do I log out?",logout
"I need to log out of my account.",logout
"I want to exit the system.",logout
"Can I log out now?",logout
"How do I sign out?",logout
"I need to end my session.",logout
"I want to close my account session.",logout
"Can I log out of the portal?",logout
"How do I exit the system?",logout
"I want to end my session.",logout
"Can I log out of my profile?",logout
"I need to close my account.",logout
"I want to sign out of the system.",logout
"How do I log out of the website?",logout
"I need to end my session.",logout
"I want to exit the portal.",logout
"Can I log out of my profile?",logout
"How do I close my account session",logout
"I need to end my session.",logout
"I want to log in.",login_user
"How do I log in?",login_user
"I need to login to my account.",login_user
"I want to access my account.",login_user
"Can I log in now?",login_user
"How do I sign in?",login_user
"I need to enter my credentials.",login_user
"I want to access my profile.",login_user
"Can I log in to my account?",login_user
"How do I enter the system?",login_user
"I want to access the portal.",login_user
"Can I log in to my profile?",login_user
"I need to enter my username and password.",login_user
"I want to sign in to my account.",login_user
"How do I access the system?",login_user
"I need to log in to the portal.",login_user
"I want to enter my credentials.",login_user
"Can I log in to the website?",login_user
"How do I sign in to the system?",login_user
"I need to access my user account.",login_user
"I want to open my dashboard.",index
"How do I access my dashboard?",index
"I need to open my student portal.",index
"I want to see my dashboard.",index
"Can I open my student portal now?",index
"How do I access my student dashboard?",index
"I need to open my portal.",index
"I want to see my dashboard information.",index
"Can I access my student account overview?",index
"How do I open my profile overview?",index
"I want to see my dashboard details.",index
"Can I access my student information summary?",index
"I need to open my account summary.",index
"I want to see my dashboard page.",index
"How do I access my student portal homepage?",index
"I need to open my main dashboard.",index
"I want to see my dashboard summary.",index
"Can I access my student information overview page?",index
"How do I open my portal homepage?",index
"I need to see my dashboard details.",index
